epoch,train_loss,val_loss,dice_score,auroc,auprc,ppv,nne,learning_rate,batch_size,train_samples,val_samples,optimizer_type,loss_function,augmentations,model_architecture,dropout_rate,weight_decay,num_epochs,patch_size,gradient_clipping
44,0.19825951439829972,0.12914730121309942,0.05179312452673912,0.9845301111315365,0.9088139345054503,0.8276045515773804,1.2083065494190925,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
45,0.20357873204808968,0.12828990157980186,0.05179312452673912,0.9863363228357775,0.9096537540689293,0.8225993984601192,1.2156585597703684,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
46,0.19846455638225263,0.125723542788854,0.05179312452673912,0.9851021762286367,0.9134789434862712,0.8295087136200225,1.2055328456236993,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
47,0.19578418035346729,0.1268913376216705,0.05179312452673912,0.9850975622429312,0.9137381312910361,0.8389908147251189,1.1919081621026244,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
48,0.19385228435007426,0.12918670532795098,0.05179312452673912,0.9848536191850648,0.9076507985997998,0.8328420647190674,1.2007078440944479,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
49,0.19939343803204024,0.12832957706772363,0.05179312452673912,0.9810651155069057,0.9094095013413883,0.8591636071367561,1.163922670482511,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
50,0.19742678850889206,0.1250052139736139,0.05179312452673912,0.9844012309833508,0.9113438172853134,0.8401919660416507,1.190204191919668,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
51,0.20081316178234723,0.12471923346702869,0.05179312452673912,0.9794758751323175,0.9068555953720816,0.8656869271340059,1.155152017035372,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
52,0.18966842944232318,0.12555423035071447,0.05179312452673912,0.9813182509479207,0.898724806476743,0.8389084904932957,1.1920251270933961,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
53,0.19327276128415877,0.12360179739502761,0.05179312452673912,0.9884671641363147,0.9195786923154133,0.8220368930666478,1.2164904135499957,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
54,0.19117888063192368,0.12309680506587029,0.05179312452673912,0.9822006959821161,0.9104057374280953,0.856310823779812,1.1678002569043031,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
55,0.19031885280632055,0.12774913672071236,0.05179312452673912,0.98444110735142,0.9126703121285997,0.8336478814004836,1.199547221687955,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
56,0.19565272230941516,0.12442826393705148,0.05179312452673912,0.9862587374706658,0.912479913508664,0.8270720643481785,1.2090844838147294,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
57,0.18590289125075707,0.12053014538609065,0.05179312452673912,0.9847412476371165,0.914406235459472,0.8351372906460066,1.1974079126875852,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
58,0.18790508935657832,0.12044482878767528,0.05179312452673912,0.9855340506742918,0.9140961595502217,0.8359389421739436,1.1962596184350487,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
59,0.19378708904752365,0.12303561287430617,0.05179312452673912,0.9794266622284798,0.9061733672757211,0.8614465407047421,1.1608381399754748,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
60,0.19072348137314504,0.11956127732992172,0.05179312452673912,0.9849921754568169,0.9147040156105275,0.8544180148999505,1.1703873075722737,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
61,0.19881994363207084,0.12046779806797321,0.05179312452673912,0.9859417632446551,0.9161072019903156,0.838427445487425,1.1927090476131108,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
62,0.1843473627590216,0.12058118702127384,0.05179312452673912,0.9855202274000942,0.9127598564450919,0.8282194298469029,1.2074094907250013,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
63,0.18946955897487128,0.12379027645175274,0.05179312452673912,0.9758640930767031,0.8987642654115082,0.8618728137758832,1.1602640018531025,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
64,0.19640540288617978,0.12030169367790222,0.05179312452673912,0.9874484542434518,0.9189466207575319,0.8315463364846335,1.2025788054427673,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
65,0.19096252465477356,0.11955209706838314,0.05179312452673912,0.9838984648034732,0.915693829476202,0.8481192029073354,1.1790795404372643,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
66,0.1818425113765093,0.11823904457000586,0.05179312452673912,0.9842984579941673,0.9167933452379236,0.8476331837409546,1.1797556055870628,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
67,0.18909292438855538,0.11823219748643729,0.05179312452673912,0.9845829119962723,0.9185676551667435,0.8529074511313456,1.172460152239897,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
68,0.1812253542817556,0.11934454796405938,0.05179312452673912,0.9842619609859385,0.9162012712118393,0.848255803133466,1.1788896654829701,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
69,0.19534493065797365,0.11936439717045197,0.05179312452673912,0.9878667213639607,0.9151992388916408,0.8217472109647782,1.2169192504175863,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
70,0.187164556951477,0.11679095889513309,0.05179312452673912,0.986743152475701,0.9165209623940799,0.832805770998358,1.2007601710074747,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
71,0.18356305618698782,0.12030113803652617,0.05179312452673912,0.9741659385251547,0.9078615431407113,0.8854297050279857,1.129395133596058,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
72,0.19966169847891882,0.12011995653693493,0.05179312452673912,0.9842799549451692,0.9055339937447637,0.8267081446223129,1.209616726900467,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
73,0.18914925077786812,0.11489569825621751,0.05179312452673912,0.9858145120314159,0.9209418814469812,0.8437860434530737,1.1851345584096686,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
74,0.1814697622679747,0.11762326382673703,0.05179312452673912,0.9898237260670492,0.9215967958012312,0.8185995216849552,1.2215985637783677,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
75,0.18244536579228365,0.1149803064763546,0.05179312452673912,0.9854828862018572,0.9211669306578689,0.8542938301853772,1.17055744132321,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
76,0.18214777699456766,0.11354266909452584,0.05179312452673912,0.9828356354903851,0.9190671874400944,0.8668476459801604,1.1536052553609715,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
77,0.1797775303801665,0.11565833366834201,0.05179312452673912,0.987712328692908,0.9227980688569344,0.8284728372064617,1.2070401769259123,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
78,0.18407934373961046,0.11392489734750527,0.05179312452673912,0.9866387738650295,0.9215692339677171,0.8386159391601136,1.1924409652903987,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
79,0.1801514780292144,0.11340264402903043,0.05179312452673912,0.9820184526159565,0.9167129423975781,0.8565551963223159,1.1674670871107609,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
80,0.18490032679759538,0.11730368979848348,0.05179312452673912,0.9859236155247291,0.9158432024113787,0.8229028565678419,1.2152102669454736,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
81,0.18165213442765749,0.11443240739978276,0.05179312452673912,0.9875946373609867,0.9207651660030037,0.8277043104932209,1.2081609184856241,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
82,0.17492548419305912,0.11500760397085777,0.05179312452673912,0.9826051016126178,0.9172429453619744,0.8547357534165405,1.169952229098655,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
83,0.18099721993964452,0.1162873781644381,0.05179312452673912,0.987121498174372,0.9209625862478761,0.8305098745769974,1.2040796029178205,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
84,0.18528772059541482,0.11503250094560477,0.05179312452673912,0.9842107842737311,0.9192907073269079,0.8480979168615295,1.1791091336488588,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
85,0.1756942282215907,0.1129101554934795,0.05179312452673912,0.9859653517374753,0.9220728972553287,0.8454631205636386,1.1827837024202044,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
86,0.17629247388014427,0.11442072431628521,0.05179312452673912,0.988079921337225,0.919908549407952,0.818353057199211,1.2219664742531422,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
87,0.1830169575718733,0.11271391837642743,0.05179312452673912,0.9790696339087528,0.9162870858357425,0.8750031771673223,1.142852993102647,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
88,0.1776654300494836,0.11356950379334964,0.05179312452673912,0.9836514137676425,0.9170887279163963,0.8516288273719599,1.1742204677193684,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
89,0.179104077271544,0.11195807273571308,0.05179312452673912,0.9867383751699285,0.9240683724044343,0.8360186097090566,1.1961456221028508,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
90,0.17592266861062783,0.11256796666062795,0.05179312452673912,0.9814696525450776,0.9151394257237468,0.8617200813137318,1.1604696486537185,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
91,0.17500472570268008,0.11078780373701683,0.05179312452673912,0.9843797205131507,0.923170474632306,0.8540384574434104,1.1709074588907036,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
92,0.1741545436760554,0.11146488699775475,0.05179312452673912,0.9852671587726023,0.9232559336117059,0.8463441062847451,1.1815525063319325,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
93,0.17734190750007445,0.11275339785676736,0.05179312452673912,0.9812790036654032,0.9165644440224032,0.8598060371419406,1.1630530105651207,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
94,0.1739680378769453,0.11192472336383966,0.05179312452673912,0.9834046633404122,0.9194552301949843,0.8553253048467804,1.1691458142690354,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
95,0.1749628995760129,0.11113348173407409,0.05179312452673912,0.9820477035742863,0.9171654851503086,0.8575609018659295,1.1660979387284838,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
96,0.1720577054298841,0.11508020644004528,0.05179312452673912,0.9748263049082581,0.9098226093382127,0.8689896962249147,1.1507616308274118,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
97,0.17259904656272668,0.11055362310547096,0.05179312452673912,0.9844785427681727,0.9201733303447059,0.846701262521797,1.181054102862232,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
98,0.1770343161546267,0.11201640934898303,0.05179312452673912,0.9790746198485913,0.9158758483702212,0.8713545105862849,1.1476385189389298,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
99,0.17367427122707552,0.11125515229426898,0.05179312452673912,0.986186780512504,0.9234160436013902,0.8309239584424343,1.2034795601206378,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
100,0.17008222123751274,0.11082010859480271,0.05179312452673912,0.9876879942983576,0.9250027041895377,0.8268887011988352,1.209352599146881,0.0001,4,208,52,Adam,Dice,All,UNet,0.2,1e-05,100,64,1.0
